TOTIME         ,SWRDT          ,KPER      ,KSTP      ,KSWR      ,STAGE0000000001,STAGE0000000002,STAGE0000000003,STAGE0000000004,STAGE0000000005,STAGE0000000006,STAGE0000000007,STAGE0000000008,STAGE0000000009,STAGE0000000010,STAGE0000000011,STAGE0000000012,STAGE0000000013,STAGE0000000014,STAGE0000000015,STAGE0000000016,STAGE0000000017,STAGE0000000018,
  0.8460000E+05,  0.1800000E+04,        24,         1,         1,  0.3344972E+01,  0.3344727E+01,  0.3344681E+01,  0.3344579E+01,  0.3344107E+01,  0.3343291E+01,  0.3342163E+01,  0.3341077E+01,  0.3344680E+01,  0.3344431E+01,  0.3343508E+01,  0.3342216E+01,  0.3341062E+01,  0.3340301E+01,  0.2494709E+01,  0.2475760E+01,  0.2459955E+01,  0.2446683E+01,
  0.8640000E+05,  0.1800000E+04,        24,         2,         1,  0.3305407E+01,  0.3305219E+01,  0.3305184E+01,  0.3305106E+01,  0.3304756E+01,  0.3304152E+01,  0.3303316E+01,  0.3302513E+01,  0.3305183E+01,  0.3304993E+01,  0.3304310E+01,  0.3303354E+01,  0.3302502E+01,  0.3301941E+01,  0.2434719E+01,  0.2419989E+01,  0.2407893E+01,  0.2397846E+01,
  0.8820000E+05,  0.1800000E+04,        25,         1,         1,  0.3272021E+01,  0.3271875E+01,  0.3271848E+01,  0.3271789E+01,  0.3271527E+01,  0.3271073E+01,  0.3270449E+01,  0.3269849E+01,  0.3271847E+01,  0.3271700E+01,  0.3271190E+01,  0.3270476E+01,  0.3269841E+01,  0.3269423E+01,  0.2383809E+01,  0.2372408E+01,  0.2363156E+01,  0.2355541E+01,
  0.9000000E+05,  0.1800000E+04,        25,         2,         1,  0.3243666E+01,  0.3243552E+01,  0.3243532E+01,  0.3243487E+01,  0.3243286E+01,  0.3242942E+01,  0.3242471E+01,  0.3242019E+01,  0.3243531E+01,  0.3243419E+01,  0.3243031E+01,  0.3242491E+01,  0.3242013E+01,  0.3241698E+01,  0.2340944E+01,  0.2332042E+01,  0.2324911E+01,  0.2319099E+01,
  0.9180000E+05,  0.1800000E+04,        25,         3,         1,  0.3219362E+01,  0.3219274E+01,  0.3219258E+01,  0.3219222E+01,  0.3219066E+01,  0.3218805E+01,  0.3218447E+01,  0.3218104E+01,  0.3219257E+01,  0.3219172E+01,  0.3218876E+01,  0.3218464E+01,  0.3218099E+01,  0.3217861E+01,  0.2304569E+01,  0.2297589E+01,  0.2292065E+01,  0.2287601E+01,
  0.9360000E+05,  0.1800000E+04,        25,         4,         1,  0.3198410E+01,  0.3198341E+01,  0.3198328E+01,  0.3198301E+01,  0.3198180E+01,  0.3197979E+01,  0.3197704E+01,  0.3197440E+01,  0.3198328E+01,  0.3198261E+01,  0.3198030E+01,  0.3197715E+01,  0.3197437E+01,  0.3197254E+01,  0.2273299E+01,  0.2267798E+01,  0.2263521E+01,  0.2260082E+01,
  0.9540000E+05,  0.1800000E+04,        25,         5,         1,  0.3180165E+01,  0.3180114E+01,  0.3180105E+01,  0.3180084E+01,  0.3179992E+01,  0.3179837E+01,  0.3179623E+01,  0.3179420E+01,  0.3180105E+01,  0.3180052E+01,  0.3179871E+01,  0.3179630E+01,  0.3179417E+01,  0.3179276E+01,  0.2246513E+01,  0.2242170E+01,  0.2238826E+01,  0.2236152E+01,
  0.9720000E+05,  0.1800000E+04,        25,         6,         1,  0.3164277E+01,  0.3164237E+01,  0.3164230E+01,  0.3164214E+01,  0.3164141E+01,  0.3164019E+01,  0.3163853E+01,  0.3163694E+01,  0.3164230E+01,  0.3164188E+01,  0.3164047E+01,  0.3163859E+01,  0.3163692E+01,  0.3163582E+01,  0.2223430E+01,  0.2219982E+01,  0.2217349E+01,  0.2215255E+01,
  0.9900000E+05,  0.1800000E+04,        25,         7,         1,  0.3150319E+01,  0.3150287E+01,  0.3150282E+01,  0.3150268E+01,  0.3150210E+01,  0.3150114E+01,  0.3149984E+01,  0.3149860E+01,  0.3150281E+01,  0.3150249E+01,  0.3150137E+01,  0.3149989E+01,  0.3149858E+01,  0.3149772E+01,  0.2203404E+01,  0.2200652E+01,  0.2198566E+01,  0.2196914E+01,
  0.1008000E+06,  0.1800000E+04,        25,         8,         1,  0.3138035E+01,  0.3138009E+01,  0.3138005E+01,  0.3137994E+01,  0.3137948E+01,  0.3137871E+01,  0.3137768E+01,  0.3137670E+01,  0.3138005E+01,  0.3137979E+01,  0.3137890E+01,  0.3137772E+01,  0.3137669E+01,  0.3137601E+01,  0.2185935E+01,  0.2183727E+01,  0.2182063E+01,  0.2180751E+01,
  0.1026000E+06,  0.1800000E+04,        25,         9,         1,  0.3127170E+01,  0.3127149E+01,  0.3127145E+01,  0.3127137E+01,  0.3127100E+01,  0.3127038E+01,  0.3126956E+01,  0.3126878E+01,  0.3127145E+01,  0.3127124E+01,  0.3127053E+01,  0.3126960E+01,  0.3126877E+01,  0.3126823E+01,  0.2170611E+01,  0.2168829E+01,  0.2167494E+01,  0.2166445E+01,
