TOTIME         ,SWRDT          ,KPER      ,KSTP      ,KSWR      ,STAGE0000000001,STAGE0000000002,STAGE0000000003,STAGE0000000004,STAGE0000000005,STAGE0000000006,STAGE0000000007,STAGE0000000008,STAGE0000000009,STAGE0000000010,STAGE0000000011,STAGE0000000012,STAGE0000000013,STAGE0000000014,STAGE0000000015,STAGE0000000016,STAGE0000000017,STAGE0000000018,STAGE0000000019,
  0.4900011E+02,  0.6977081E-02,        49,         6,        24,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1219005E+01,  0.1219005E+01,  0.1219005E+01,  0.1219005E+01,  0.1219005E+01,  0.1219005E+01,  0.1219005E+01,  0.1219005E+01,  0.9555251E+00,  0.9555251E+00,  0.5003122E+00,  0.5003118E+00,  0.7007849E+00,
  0.5000012E+02,  0.6977081E-02,        50,         6,        24,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1204104E+01,  0.1204104E+01,  0.1204104E+01,  0.1204104E+01,  0.1204104E+01,  0.1204104E+01,  0.1204104E+01,  0.1204104E+01,  0.9513868E+00,  0.9513868E+00,  0.4998010E+00,  0.4998010E+00,  0.7001068E+00,
  0.5100013E+02,  0.6977081E-02,        51,         6,        24,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1191697E+01,  0.1191697E+01,  0.1191697E+01,  0.1191697E+01,  0.1191697E+01,  0.1191697E+01,  0.1191697E+01,  0.1191697E+01,  0.9472480E+00,  0.9472480E+00,  0.4991726E+00,  0.4991726E+00,  0.7000576E+00,
  0.5200013E+02,  0.6977081E-02,        52,         6,        24,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1180896E+01,  0.1180896E+01,  0.1180896E+01,  0.1180896E+01,  0.1180896E+01,  0.1180896E+01,  0.1180896E+01,  0.1180896E+01,  0.9431085E+00,  0.9431085E+00,  0.4982328E+00,  0.4982328E+00,  0.6999466E+00,
  0.5300014E+02,  0.6977081E-02,        53,         6,        24,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1171202E+01,  0.1171202E+01,  0.1171202E+01,  0.1171202E+01,  0.1171202E+01,  0.1171202E+01,  0.1171202E+01,  0.1171202E+01,  0.9389687E+00,  0.9389687E+00,  0.4971215E+00,  0.4971215E+00,  0.6993939E+00,
  0.5400015E+02,  0.6977081E-02,        54,         6,        24,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1162312E+01,  0.1162312E+01,  0.1162312E+01,  0.1162312E+01,  0.1162312E+01,  0.1162312E+01,  0.1162312E+01,  0.1162312E+01,  0.9348290E+00,  0.9348290E+00,  0.4960858E+00,  0.4960858E+00,  0.6983854E+00,
  0.5500016E+02,  0.6977081E-02,        55,         6,        24,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1154016E+01,  0.1154016E+01,  0.1154016E+01,  0.1154016E+01,  0.1154016E+01,  0.1154016E+01,  0.1154016E+01,  0.1154016E+01,  0.9306904E+00,  0.9306904E+00,  0.4949989E+00,  0.4949990E+00,  0.6970230E+00,
  0.5600016E+02,  0.6977081E-02,        56,         6,        24,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1146182E+01,  0.1146182E+01,  0.1146182E+01,  0.1146182E+01,  0.1146182E+01,  0.1146182E+01,  0.1146182E+01,  0.1146182E+01,  0.9265533E+00,  0.9265533E+00,  0.4938737E+00,  0.4938737E+00,  0.6953905E+00,
  0.5700017E+02,  0.6977081E-02,        57,         6,        24,  0.1580000E+01,  0.1580000E+01,  0.1580000E+01,  0.1580000E+01,  0.1580000E+01,  0.1580000E+01,  0.1265951E+01,  0.1265951E+01,  0.1265951E+01,  0.1265951E+01,  0.1265951E+01,  0.1265951E+01,  0.1265951E+01,  0.1265951E+01,  0.1079111E+01,  0.1079111E+01,  0.9156332E+00,  0.5820501E+00,  0.9157569E+00,
  0.5800018E+02,  0.6977081E-02,        58,         6,        24,  0.1558000E+01,  0.1558000E+01,  0.1558000E+01,  0.1558000E+01,  0.1558000E+01,  0.1558000E+01,  0.1205427E+01,  0.1205427E+01,  0.1205427E+01,  0.1205427E+01,  0.1205427E+01,  0.1205427E+01,  0.1205427E+01,  0.1205427E+01,  0.1050556E+01,  0.1050556E+01,  0.6802414E+00,  0.5375477E+00,  0.7015134E+00,
